TYPE;NUM;PARENT_CODE;NAME;MEASURE_UNIT;UNIT_WEIGHT;ENERGY;FIBER;FAT;CARBOHYDRATE;PRICE
GOODS;893039;46512;Газ.вода;Литр;1000.00;;;0.00;0.00;0.00
DISH;1040827;51053;Гастр. нерж. 1/1 н=100 мм 530х325 мм;Штуки;0.00;;;0.00;0.00;0.00
DISH;1040819;51053;Гастр.нерж.1/6 н=65 мм 176х164 га23;Штуки;0.00;;;0.00;0.00;0.00
DISH;1123399;57574;Глинтвейн Ананас Виноград L;Штуки;440.00;;;0.00;0.00;208.00
PREPARED;962283;49995;"Горчица ""Русская-домашняя""";Килограммы;1000.00;;;10.00;18.00;0.00
GOODS;962273;49993;Горчица зерновая;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;962290;49993;Горчичный порошок;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1119478;46509;Горячий Шоколад L;Штуки;415.00;;;0.00;0.00;233.00
DISH;1119477;46509;Горячий Шоколад M;Штуки;355.00;;;0.00;0.00;193.00
DISH;1119476;46509;Горячий Шоколад S;Штуки;215.00;;;0.00;0.00;150.00
GOODS;893031;46512;Горячий Шоколад Молочный;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;893032;46512;Горячий Шоколад Тёмный;Килограммы;1000.00;;;0.00;0.00;0.00
PREPARED;1061294;49995;Гречка отварная п/ф;Килограммы;3010.00;;;0.00;0.00;0.00
DISH;983704;51052;Губка для посуды;Штуки;0.00;;;0.00;0.00;0.00
SERVICE;999848;53534;Дезинсекция, дератизация;Штуки;0.00;;;0.00;0.00;0.00
GOODS;893360;46514;Держатель для стаканов х2;Штуки;0.00;;;0.00;0.00;0.00
GOODS;893373;46514;Держатель для стаканов х4;Штуки;0.00;;;0.00;0.00;0.00
DISH;1095150;46512;Джус Боллы;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1150825;51053;Доска разделочная;Штуки;0.00;;;0.00;0.00;0.00
GOODS;962313;49993;Дрожжи живые;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1032007;51052;Емкость д/соуса 700 мл.;Штуки;0.00;;;0.00;0.00;0.00
DISH;983702;51053;Емкость для сыпучих прод. V=0,3 л.;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1035546;49993;Желатин;Килограммы;1000.00;;;0.00;0.00;0.00
PREPARED;1092791;49995;Желе из желатина (для кремов);Килограммы;210.00;;;0.00;0.00;0.00
SERVICE;900076;46543;Заплатили Больше;Штуки;0.00;;;0.00;0.00;1.00
GOODS;1046385;54161;Зеленый горошек (зам) СТАФФ;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;971062;46543;Значок Ижевск;Штуки;0.00;;;0.00;0.00;100.00
SERVICE;893607;46543;ИГРА;Штуки;0.00;;;0.00;0.00;20.00
DISH;1045425;46513;ИПР-350 (стафф);Штуки;0.00;;;0.00;0.00;3.00
DISH;1072781;46513;ИПР-500 (стафф);Штуки;0.00;;;0.00;0.00;4.00
GOODS;1009700;49993;Итальянские травы;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1013699;46543;КОМБО Капучино S + Сэндвич;Штуки;0.00;;;0.00;0.00;129.00
DISH;1119475;46509;Какао L;Штуки;220.00;;;0.00;0.00;180.00
DISH;1119474;46509;Какао M;Штуки;365.00;;;0.00;0.00;154.00
DISH;1119473;46509;Какао S;Штуки;220.00;;;0.00;0.00;127.00
DISH;1123394;46511;Какао Масала M;Штуки;387.00;;;0.00;0.00;229.00
DISH;1123395;46511;Какао Масала XL;Штуки;667.00;;;0.00;0.00;310.00
GOODS;962636;49993;Какао порошок;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;962638;49993;Какао чёрный;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1013574;49993;Капуста свежая;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1119449;44991;Капучино L;Штуки;356.00;;;0.00;0.00;192.00
DISH;1119448;44991;Капучино M;Штуки;306.00;;;0.00;0.00;160.00
DISH;1119445;44991;Капучино S;Штуки;196.00;;;0.00;0.00;137.00
DISH;1123386;46511;Капучино Нутелла Банан M;Штуки;322.00;;;0.00;0.00;229.00
DISH;1123391;46511;Капучино Нутелла Банан XL;Штуки;592.00;;;0.00;0.00;310.00
DISH;1123375;46510;Капучино Птичье Молоко M;Штуки;322.00;;;0.00;0.00;229.00
DISH;1123377;46510;Капучино Птичье Молоко XL;Штуки;592.00;;;0.00;0.00;310.00
DISH;1008750;51052;Капхолдер из кожи;Штуки;0.00;;;0.00;0.00;0.00
GOODS;962323;49993;Карбонат свинной;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1013063;49993;Кардамон мол;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;991347;49993;Картофель;Килограммы;1000.00;;;0.00;0.00;0.00
PREPARED;1061299;49993;Картофель очищенный п/ф;Килограммы;800.00;;;0.00;0.00;0.00
PREPARED;1068576;49993;Картофельное пюре с молоком п/ф;Граммы;251.00;;;0.00;0.00;0.00
GOODS;1137629;49993;Кефир 2,5%;Литр;1000.00;;;0.00;0.00;0.00
GOODS;1009708;49993;Кешью;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1017805;49993;Кислота сорбиновая;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;995399;53534;Китель;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1009759;49993;Клубника заморож.;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;962639;49993;Клюква сушеная;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009750;49993;Колбаса пепперони;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;997871;46513;Контейнер 125мл. с крышкой;Штуки;0.00;;;0.00;0.00;0.00
DISH;995327;46513;Контейнер 220 мл с крышкой;Штуки;0.00;;;0.00;0.00;0.00
DISH;1032005;51053;Контейнер 4 л. для продуктов;Штуки;0.00;;;0.00;0.00;0.00
DISH;1086313;46513;Контейнер ПП 500 мл (прямоугольный) + крышка (стафф);Штуки;0.00;;;0.00;0.00;5.55
DISH;1149493;46513;Контейнер для Салата;Штуки;0.00;;;0.00;0.00;0.00
DISH;1002746;46513;Контейнер для кусочка торта 330мл треугольный дно+крышка;Штуки;0.00;;;0.00;0.00;0.00
DISH;1030188;46513;Контейнер для пирожного ДНО;Штуки;0.00;;;0.00;0.00;0.00
DISH;1030187;46513;Контейнер для пирожного Крышка;Штуки;0.00;;;0.00;0.00;0.00
DISH;1032031;55900;Контейнер для соуса 50 мл.;Штуки;0.00;;;0.00;0.00;0.00
PREPARED;1013613;49995;Конфитюр Апельсин;Килограммы;2075.00;;;0.00;0.00;0.00
PREPARED;1013610;49995;Конфитюр Клубничный;Килограммы;1461.00;;;0.00;0.00;0.00
GOODS;1019300;49993;Коньяк;Литр;1000.00;;;0.00;0.00;0.00
GOODS;1013059;49993;Кориандр;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009689;49993;Корица;Килограммы;1000.00;;;0.00;0.00;0.00
